Date,Close,High,Low,Open,Volume,log_return,cum_return,rolling_vol_21
2016-07-21,4376.25,4389.89990234375,4340.93994140625,4382.16015625,89183000,-0.0008016815665862335,73.95599587879121,0.3684951826454383
2016-07-22,4381.10009765625,4398.27001953125,4345.22998046875,4365.3798828125,71605600,0.0011076634137163483,74.03795961538702,0.36171054033847355
2016-07-25,4388.0,4419.77001953125,4368.06005859375,4381.6298828125,77833000,0.001573685712529046,74.15456381973969,0.19969507611784643
2016-07-26,4394.77001953125,4405.66015625,4353.6201171875,4385.31982421875,88135600,0.001541659603305562,74.26897308259089,0.18329570527038455
2016-07-27,4446.9599609375,4469.89990234375,4424.60009765625,4424.60009765625,109101100,0.011805505859751785,75.15095173818757,0.18165934916826004
2016-07-28,4420.580078125,4474.669921875,4420.580078125,4447.2099609375,107115100,-0.005949781002773858,74.70514756690753,0.16645789416481274
2016-07-29,4439.81005859375,4439.81005859375,4408.3798828125,4429.490234375,124920500,0.004340669059790971,75.03012268402746,0.1643829874182159
2016-08-01,4409.169921875,4477.43994140625,4395.330078125,4469.990234375,86698300,-0.0069251505233023525,74.51232278116599,0.1656003901509755
2016-08-02,4327.990234375,4398.2001953125,4320.89013671875,4395.85986328125,105645700,-0.01858316025097683,73.14043483276463,0.17609240532142245
2016-08-03,4321.080078125,4347.93994140625,4293.33984375,4346.31005859375,101785300,-0.0015978960675820688,73.02365734355655,0.1638553566410391
2016-08-04,4345.6298828125,4359.7900390625,4324.81005859375,4344.18017578125,85093300,0.005665326395022455,73.43853429398074,0.14584734933314566
2016-08-05,4410.5498046875,4416.66015625,4361.580078125,4362.93994140625,90951100,0.01482863846633351,74.53564197170456,0.150695159759444
2016-08-08,4415.4599609375,4441.16015625,4407.31982421875,4419.02001953125,70007000,0.0011126560896612269,74.61862066245332,0.14157344056378302
2016-08-09,4468.06982421875,4468.33984375,4410.72021484375,4412.85986328125,77065400,0.011844498665447985,75.50769574546091,0.13527507777268366
2016-08-10,4452.009765625,4465.89013671875,4440.56005859375,4443.3798828125,68145500,-0.0036008817601567334,75.23629040363342,0.12753789903771068
2016-08-11,4503.9501953125,4503.9501953125,4446.4599609375,4471.2998046875,68621600,0.011599205949637748,76.11405246108248,0.13239886923125302
2016-08-12,4500.18994140625,4510.06005859375,4490.4501953125,4501.06005859375,62472700,-0.0008352278102633201,76.05050642911588,0.12782309581554757
2016-08-15,4497.85986328125,4528.0,4494.490234375,4503.64990234375,43395900,-0.0005179073749667215,76.01112950864521,0.12708779715784232
2016-08-16,4460.43994140625,4499.58984375,4457.25,4476.06982421875,75577600,-0.00835429497379211,75.37875530973696,0.13053826096382723
2016-08-17,4417.68017578125,4478.580078125,4415.330078125,4475.1298828125,66460000,-0.00963269153728346,74.65614095947348,0.13336223161358426
2016-08-18,4437.06005859375,4447.25,4413.06005859375,4441.2001953125,62662600,0.004377296960478769,74.9836493361459,0.1285671323766491
2016-08-19,4400.52001953125,4436.8701171875,4373.75,4436.08984375,74256600,-0.008269287963444096,74.36614462816141,0.13215911089142557
2016-08-22,4389.93994140625,4443.06982421875,4377.7001953125,4397.39013671875,65669900,-0.0024071739774386984,74.18734766404606,0.1324367629725335
2016-08-23,4421.4501953125,4436.14990234375,4404.0,4406.33984375,67974600,0.007152194543625763,74.71985202463567,0.13461302359314187
2016-08-24,4435.47021484375,4453.72998046875,4382.7099609375,4389.169921875,66667600,0.0031658930174535685,74.95678193190187,0.1349096853797542
2016-08-25,4406.60986328125,4415.31005859375,4377.7900390625,4414.41015625,64056700,-0.006527978438683021,74.4690593289389,0.13031746435996397
2016-08-26,4441.8701171875,4455.60986328125,4387.7099609375,4399.4599609375,71774700,0.007969829987261437,75.06493643663971,0.13180641975187285
2016-08-29,4424.25,4437.81982421875,4390.0400390625,4421.4599609375,48533900,-0.003974712760934053,74.7671670418148,0.13168539931405177
2016-08-30,4457.490234375,4475.02001953125,4438.419921875,4439.68017578125,75965200,0.007485107353539638,75.32890703300534,0.13182879904851302
2016-08-31,4438.22021484375,4486.83984375,4438.22021484375,4451.39990234375,112516300,-0.0043324363540773025,75.00325527978343,0.11382393507282752
2016-09-01,4439.669921875,4490.91015625,4421.97021484375,4448.02978515625,107456600,0.0003265881919713277,75.02775445767057,0.11342291390956578
2016-09-02,4542.169921875,4548.0400390625,4446.5,4461.2900390625,105485900,0.02282482246803895,76.75994287871053,0.1352421120654281
